0.006,0.52
0.007,0.518
0.007,0.517
0.007,0.512
0.007,0.502
0.009,0.485
0.01,0.464
0.013,0.441
0.016,0.423
0.019,0.408
0.022,0.396
0.024,0.386
0.027,0.377
0.03,0.37
0.033,0.363
0.035,0.359
0.038,0.359
0.04,0.359
0.042,0.359
0.046,0.359
0.051,0.359
0.059,0.359
0.071,0.359
0.087,0.359
0.104,0.359
0.121,0.359
0.139,0.359
0.156,0.358
0.173,0.358
0.191,0.358
0.208,0.358
0.225,0.357
0.241,0.357
0.257,0.357
0.272,0.357
0.286,0.356
0.299,0.356
0.311,0.356
0.323,0.356
0.333,0.355
0.343,0.355
0.35,0.355
0.352,0.355
