# Simulation 9 (Up to date)
# 314 data points written for 10 variables.
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),Numero di Mach (​),Numero di Reynolds (​),Forza d'attrito (N),Coefficiente d'attrito (​),Velocita' del suono (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.453,479.483,23.778,0.089,4.526e-4,0.071,1.704e6,0.485,0.359,338.5
7.472,479.932,23.58,0.089,4.526e-4,0.07,1.69e6,0.476,0.359,338.498
7.5,480.599,23.283,0.089,4.526e-4,0.069,1.668e6,0.464,0.359,338.496
7.543,481.584,22.839,0.089,4.526e-4,0.068,1.637e6,0.447,0.359,338.492
7.593,482.713,22.32,0.089,4.526e-4,0.067,1.601e6,0.427,0.359,338.487
7.643,483.816,21.802,0.089,4.526e-4,0.065,1.564e6,0.408,0.359,338.483
7.693,484.894,21.286,0.089,4.526e-4,0.064,1.529e6,0.39,0.359,338.479
7.743,485.945,20.771,0.089,4.526e-4,0.062,1.494e6,0.373,0.359,338.475
7.793,486.971,20.257,0.089,4.526e-4,0.061,1.459e6,0.356,0.359,338.471
7.843,487.971,19.745,0.089,4.526e-4,0.059,1.421e6,0.337,0.359,338.467
7.893,488.945,19.234,0.089,4.526e-4,0.058,1.384e6,0.319,0.359,338.463
7.943,489.894,18.724,0.089,4.526e-4,0.056,1.348e6,0.302,0.359,338.459
7.993,490.818,18.214,0.089,4.526e-4,0.055,1.313e6,0.287,0.359,338.456
8.043,491.716,17.706,0.089,4.526e-4,0.053,1.277e6,0.272,0.359,338.452
8.093,492.588,17.199,0.089,4.526e-4,0.052,1.242e6,0.257,0.359,338.449
8.143,493.436,16.693,0.089,4.526e-4,0.05,1.207e6,0.243,0.359,338.445
8.193,494.258,16.188,0.089,4.526e-4,0.049,1.172e6,0.229,0.359,338.442
8.243,495.054,15.684,0.089,4.526e-4,0.047,1.135e6,0.214,0.359,338.439
8.293,495.826,15.18,0.089,4.526e-4,0.046,1.101e6,0.202,0.359,338.436
8.343,496.572,14.678,0.089,4.526e-4,0.044,1.066e6,0.189,0.359,338.433
8.393,497.294,14.177,0.089,4.526e-4,0.043,1.033e6,0.178,0.359,338.43
8.443,497.99,13.676,0.089,4.526e-4,0.042,9.973e5,0.166,0.359,338.427
8.493,498.661,13.176,0.089,4.526e-4,0.04,9.613e5,0.154,0.359,338.425
8.543,499.308,12.677,0.089,4.526e-4,0.039,9.26e5,0.142,0.359,338.422
8.593,499.929,12.179,0.089,4.526e-4,0.037,8.896e5,0.131,0.359,338.42
8.643,500.526,11.681,0.089,4.526e-4,0.036,8.545e5,0.121,0.36,338.417
8.693,501.097,11.184,0.089,4.526e-4,0.034,8.217e5,0.113,0.363,338.415
8.743,501.644,10.687,0.089,4.526e-4,0.033,7.865e5,0.104,0.366,338.413
8.793,502.166,10.192,0.089,4.526e-4,0.031,7.534e5,0.097,0.369,338.411
8.843,502.663,9.697,0.089,4.526e-4,0.03,7.188e5,0.089,0.373,338.409
8.893,503.136,9.202,0.089,4.526e-4,0.029,6.847e5,0.081,0.377,338.407
8.943,503.583,8.709,0.089,4.526e-4,0.027,6.552e5,0.076,0.38,338.405
